1, Amazonas, 1
2, Antioquia, 1
3, Arauca, 1
4, Atlantico, 1
5, Bogota, 1
6, Bolívar, 1
7, Boyacá, 1
8, Caldas, 1
9, Caquetá, 1
10, Casanare, 1
11, Cauca, 1
12, Cesar, 1
13, Choco, 1
14, Córdoba, 1
15, Cundinamarca, 1
16, Guainía, 1
17, Guaviare, 1
18, Huila, 1
19, La Guajira, 1
20, Magdalena, 1
21, Meta, 1
22, Nariño, 1
23, Norte de Santander, 1
24, Putumayo, 1
25, Quindio, 1
26, Risaralda, 1
27, San Andrés y Providencia, 1
28, Santander, 1
29, Sucre, 1
30, Tolima, 1
31, Valle del Cauca, 1
32, Vaupés, 1
33, Vichada, 1
